filename,method,N,KL_MAP,KL_reconstruct
N_10_1_G_3_1.csv,Bayes,100,0.013562259264290333,0.014487231150269508
N_10_1_G_3_1.csv,NPBayes,100,0.060327617042017535,0.08221454069357667
N_10_1_G_3_1.csv,NF,100,0.04537958651781082,0.04537958651781082
N_10_1_G_3_1.csv,Bayes,316,0.0005095088272355497,0.0004972085589542985
N_10_1_G_3_1.csv,NPBayes,316,0.055539651116184495,0.03648626787818318
N_10_1_G_3_1.csv,NF,316,0.045416634529829025,0.045416634529829025
N_10_1_G_3_1.csv,Bayes,1000,0.0002308197581442073,0.00037143120425753295
N_10_1_G_3_1.csv,NPBayes,1000,0.0311217852490036,0.03626252014375237
N_10_1_G_3_1.csv,NF,1000,0.00744610046967864,0.00744610046967864
N_10_1_G_3_1.csv,Bayes,3160,0.0005267041851766407,0.0005094349617138505
N_10_1_G_3_1.csv,NPBayes,3160,0.03897092756158776,0.04007893497191155
N_10_1_G_3_1.csv,NF,3160,0.016867607831954956,0.016867607831954956
N_10_1_G_3_1.csv,Bayes,10000,4.479157360037789e-05,4.3733725760830566e-05
N_10_1_G_3_1.csv,NPBayes,10000,0.02422530344452629,0.019424022297377413
N_10_1_G_3_1.csv,NF,10000,0.0142210079357028,0.0142210079357028
N_10_1_G_4_1.csv,Bayes,100,0.017691483721137047,0.02048121951520443
N_10_1_G_4_1.csv,NPBayes,100,0.13230176845325747,0.09013897474823723
N_10_1_G_4_1.csv,NF,100,0.046951618045568466,0.046951618045568466
N_10_1_G_4_1.csv,Bayes,316,0.0044480497017502785,0.00580092566087842
N_10_1_G_4_1.csv,NPBayes,316,0.033860350371044415,0.04351499168020394
N_10_1_G_4_1.csv,NF,316,0.014739463105797768,0.014739463105797768
N_10_1_G_4_1.csv,Bayes,1000,0.0005400158115662634,0.0008719514007680118
N_10_1_G_4_1.csv,NPBayes,1000,0.01963274178302225,0.020879773059062356
N_10_1_G_4_1.csv,NF,1000,0.010422741994261742,0.010422741994261742
N_10_1_G_4_1.csv,Bayes,3160,5.071691248303978e-06,4.796834673470585e-06
N_10_1_G_4_1.csv,NPBayes,3160,0.012321496645593457,0.014169735145297313
N_10_1_G_4_1.csv,NF,3160,0.009061098098754883,0.009061098098754883
N_10_1_G_4_1.csv,Bayes,10000,0.00020386114192660898,0.00019199267262592912
N_10_1_G_4_1.csv,NPBayes,10000,0.013560356598493261,0.012086465957041615
N_10_1_G_4_1.csv,NF,10000,0.006627758499234915,0.006627758499234915
N_10_1_G_5_1.csv,Bayes,100,0.002910936949774623,0.0018112444086000323
N_10_1_G_5_1.csv,NPBayes,100,0.24198812899291078,0.16809208553652716
N_10_1_G_5_1.csv,NF,100,0.29769378900527954,0.29769378900527954
N_10_1_G_5_1.csv,Bayes,316,0.000961632642429322,0.0013363619800657034
N_10_1_G_5_1.csv,NPBayes,316,0.060297089382159205,0.04758290142172805
N_10_1_G_5_1.csv,NF,316,0.019507456570863724,0.019507456570863724
N_10_1_G_5_1.csv,Bayes,1000,0.0006891103112138808,0.00043502208427526057
N_10_1_G_5_1.csv,NPBayes,1000,0.013229257931210903,0.014029212711853978
N_10_1_G_5_1.csv,NF,1000,0.003992073237895966,0.003992073237895966
N_10_1_G_5_1.csv,Bayes,3160,0.0007715189130976796,0.000713550893124193
N_10_1_G_5_1.csv,NPBayes,3160,0.013430272044208701,0.014683875931369161
N_10_1_G_5_1.csv,NF,3160,0.00727631151676178,0.00727631151676178
N_10_1_G_5_1.csv,Bayes,10000,0.00011468286538729444,0.00012626709940377623
N_10_1_G_5_1.csv,NPBayes,10000,0.00583290837448982,0.004119958446606343
N_10_1_G_5_1.csv,NF,10000,0.0033252316061407328,0.0033252316061407328
N_10_1_G_6_1.csv,Bayes,100,0.013807081617414951,0.007876488380134106
N_10_1_G_6_1.csv,NPBayes,100,0.13612101400334684,0.1678843016588058
N_10_1_G_6_1.csv,NF,100,0.06185412406921387,0.06185412406921387
N_10_1_G_6_1.csv,Bayes,316,0.002980868797749281,0.0022243014536798
N_10_1_G_6_1.csv,NPBayes,316,0.12676999110085083,0.10053509393090679
N_10_1_G_6_1.csv,NF,316,0.03382686898112297,0.03382686898112297
N_10_1_G_6_1.csv,Bayes,1000,0.0016270532505586743,0.002196741523221135
N_10_1_G_6_1.csv,NPBayes,1000,0.012323972785603233,0.012607589900725068
N_10_1_G_6_1.csv,NF,1000,0.006609318777918816,0.006609318777918816
N_10_1_G_6_1.csv,Bayes,3160,0.0006363795837387443,0.0005600494332611561
N_10_1_G_6_1.csv,NPBayes,3160,0.01606334764613397,0.012048468765295682
N_10_1_G_6_1.csv,NF,3160,0.0036362609826028347,0.0036362609826028347
N_10_1_G_6_1.csv,Bayes,10000,4.880613414570689e-05,3.825532257906161e-05
N_10_1_G_6_1.csv,NPBayes,10000,0.01300652544334658,0.00499242958646593
N_10_1_G_6_1.csv,NF,10000,0.0038157871458679438,0.0038157871458679438
N_10_1_G_7_1.csv,Bayes,100,0.004118532408028841,0.007011692970991135
N_10_1_G_7_1.csv,NPBayes,100,0.09919688421959207,0.04307394912314222
